geog,tractid,d,pcalc,adj_rate,ll,ul,h_state,pcalc_state,adj_rate_state,ll_state,ul_state
Census tract,08119010103,7,39620,17.1388,6.6722,32.452,2546,27655705,8.89833,8.54735,9.2493
Census tract,08119010104,0,10800,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08119010105,.,30165,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08119010106,.,24990,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08119010201,0,11940,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08119010202,0,3050,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08121924100,0,9825,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08121924200,0,14375,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123000100,4,14180,39.9786,13.8437,79.648,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123000200,.,19375,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123000300,0,12095,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123000401,0,16510,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123000402,.,20140,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123000501,.,17805,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123000502,3,18765,17.4424,3.6642,41.453,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123000600,0,10615,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123000701,0,7785,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123000703,.,34205,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123000704,.,5635,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123000705,.,7010,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123000800,0,15495,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123000900,0,17190,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001003,.,24435,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001004,.,22350,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001005,.,36930,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001006,.,25555,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001100,6,22855,26.6244,9.673,51.976,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001201,.,20705,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001202,0,13960,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001300,.,38125,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001404,.,16035,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001405,.,22440,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001406,.,31370,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001407,.,14775,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001408,.,10325,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001409,.,16880,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001410,0,18000,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001411,.,13015,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001412,.,14485,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001413,.,12905,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001414,0,11480,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001415,0,17625,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001416,0,13175,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001417,0,14420,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001500,.,36695,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001600,0,22565,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001700,0,26580,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001800,0,22160,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001902,3,38655,6.7645,1.0499,17.447,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001905,4,24230,17.1848,4.6426,37.652,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001906,0,8220,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001907,.,14595,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123001908,.,14360,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002004,.,22000,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002005,0,5360,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002006,0,1180,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002007,0,34910,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002008,.,27340,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002009,0,8625,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002010,0,12175,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002011,0,6900,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002012,0,6455,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002013,.,15715,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002014,0,9380,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002015,0,6240,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002016,.,16210,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002017,0,3130,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002018,.,8970,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002019,.,27475,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002020,0,28415,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002021,0,3450,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002101,7,45330,15.0972,5.905,28.525,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002102,3,63820,5.2484,1.1326,12.374,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002103,3,50825,5.1373,0.7956,13.258,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002203,0,13080,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002204,.,10320,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002205,.,25645,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002206,.,17730,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002207,.,16170,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002208,0,28810,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002209,0,10140,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002210,.,4420,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002300,0,27770,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002501,.,26670,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08123002502,.,34245,.,.,.,2546,27655705,8.89833,8.54735,9.2493
Census tract,08125963100,0,21780,0,0,0,2546,27655705,8.89833,8.54735,9.2493
Census tract,08125963200,0,28565,0,0,0,2546,27655705,8.89833,8.54735,9.2493
State,08,2546,27655705,8.8983,8.5474,9.249,2546,27655705,8.89833,8.54735,9.2493
County,08001,319,2485575,12.6402,11.2377,14.043,2546,27655705,8.89833,8.54735,9.2493
County,08003,10,82220,13.385,6.6452,22.46,2546,27655705,8.89833,8.54735,9.2493
County,08005,314,3183355,9.5214,8.4553,10.587,2546,27655705,8.89833,8.54735,9.2493
County,08007,.,64540,.,.,.,2546,27655705,8.89833,8.54735,9.2493
County,08009,0,17815,0,0,0,2546,27655705,8.89833,8.54735,9.2493
County,08011,.,29045,.,.,.,2546,27655705,8.89833,8.54735,9.2493
County,08013,97,1605150,5.6278,4.4871,6.768,2546,27655705,8.89833,8.54735,9.2493
County,08014,30,330600,8.3686,5.3448,11.392,2546,27655705,8.89833,8.54735,9.2493
County,08015,8,95820,7.9819,3.3273,14.641,2546,27655705,8.89833,8.54735,9.2493
County,08017,0,10195,0,0,0,2546,27655705,8.89833,8.54735,9.2493
